,key_trial,key_score
0,romoi,16.328743102694776
1,romco,16.157459486086413
2,roqee,15.419009647068815
3,romoo,15.40632778075966
4,romfc,15.355678736957815
5,romjt,15.327088522451668
6,romso,15.306273233050243
7,roqeo,15.157048445737574
8,romot,15.156331449762506
9,romec,15.020606352293065
10,romoc,15.006815382834962
11,rodoi,14.974035223099461
12,romeo,14.973799958795139
13,romce,14.920943911757515
14,romsn,14.917952694173994
15,roqeu,14.79236636791461
16,rodho,14.745739223410457
17,romsi,14.729965311958788
18,romwi,14.693723406031125
19,romdi,14.673714737101665
20,romoa,14.668068393797945
21,rovfo,14.663217467904069
22,roqro,14.656282772457633
23,romjp,14.61706085200856
24,romwc,14.597365868818192
25,rodro,14.583048355440896
26,romgv,14.560776667965104
27,romne,14.551679781531329
28,rommo,14.535681808837447
29,roddo,14.502834430729285
30,roqzo,14.473964139670366
31,romom,14.437005237767632
32,romwo,14.425824581781287
33,romjb,14.406891406814447
34,romze,14.399262121517152
35,rocco,14.380440977171409
36,romfp,14.353251145429079
37,roxdp,14.335460682797509
38,roqek,14.32846997204052
39,romfo,14.316146603718902
40,roqey,14.312651248340408
41,rodlp,14.30774430713598
42,rodeo,14.289102411784006
43,romro,14.284419531821792
44,romok,14.284117049144811
45,rohuo,14.274538431040282
46,rodjo,14.241119696764473
47,romow,14.216383335624359
48,romgt,14.211778877096922
49,romsk,14.168109340989954
50,rocwo,14.1494898517622
51,rolfo,14.143361776787724
52,romjf,14.116620067529821
53,roqio,14.112833432536455
54,romnt,14.107399947412825
55,roijp,14.084960214005376
56,rodco,14.083996750663864
57,romus,14.070900371056618
58,rodwo,14.066766441137824
59,rozfo,14.059809339567163
60,romsg,14.056762106673096
61,rokiv,14.027320459446539
62,rodio,14.026939555334785
63,romfs,14.010885567330348
64,roqyo,14.010179774417384
65,rowfo,14.007087729274867
66,rovzo,14.002113569697778
67,romvi,14.001721462523909
68,romob,13.99562699673577
69,romyt,13.987594401202495
70,roqso,13.98390859376812
71,romna,13.980760533315053
72,romsv,13.967843402701574
73,roqle,13.962253074708405
74,roqwo,13.952842502535537
75,rodpo,13.950288204374326
76,rozso,13.947745109275226
77,roduo,13.939320406568086
78,romlc,13.934480683736329
79,roqco,13.933539626519039
80,rodfo,13.90960988585088
81,romek,13.908343939832385
82,rodiu,13.9058120477954
83,roqew,13.900938715777306
84,romhc,13.899325474833386
85,romwf,13.896580724616301
86,romon,13.892659652877605
87,romde,13.892065890585744
88,romwl,13.8902173853375
89,rodqo,13.879921771257894
90,romjx,13.877860407829552
91,romzo,13.876818523053274
92,romte,13.87498122086714
93,romge,13.87423061570573
94,rojco,13.873233543177891
95,romfx,13.865873131371256
96,rodvo,13.86483124659497
97,romto,13.862557024986524
98,rodcc,13.852967203819887
99,romui,13.852003740478375
100,rodvv,13.851880506795164
101,rodno,13.847881013621693
102,romvo,13.8350535075051
103,romvt,13.834975086070326
104,rogbo,13.831367700070727
105,rodlo,13.83026979998389
106,rojfx,13.820836821686802
107,roqpv,13.813106708830508
108,romct,13.807998112508097
109,romfw,13.803976213210404
110,romjy,13.797534452496835
111,rocuo,13.785423942355314
112,rodxo,13.772394781120735
113,romox,13.770322214630283
114,roqbb,13.760564347531982
115,roqmo,13.755993498190875
116,rodbo,13.75594868594243
117,roqiu,13.75190438052052
118,romtc,13.742202528732774
119,rouuo,13.721207990337586
120,rompo,13.703159857277472
121,rodoo,13.699720517209528
122,romdc,13.696471629197465
123,romel,13.688584673471635
124,romgl,13.687251509080474
125,roqpo,13.681963663764288
126,romsu,13.680675311621576
127,roqen,13.67962222378318
128,romck,13.676462960268006
129,romri,13.673662194740364
130,romst,13.669113751523476
131,rouwo,13.659960849779146
132,romwe,13.658033923096134
133,roquo,13.6557709045498
134,romov,13.653967211550002
135,roico,13.649945312252306
136,romoe,13.637185024508382
137,roidp,13.634014557931092
138,romis,13.618274255665755
139,rouwv,13.613636187951979
140,rorco,13.605144266872179
141,robuo,13.603161324878604
142,romut,13.597716636692875
143,roqbo,13.594703012985134
144,rolvo,13.589672838097494
145,rodgo,13.583690402930452
146,romfe,13.582715736526835
147,romre,13.56995544878291
148,romjs,13.569731387540696
149,roqto,13.568140552720998
150,rogeo,13.566314453596974
151,roswv,13.563973013615866
152,romqv,13.557553659026516
153,roaoc,13.545454351947114
154,romuc,13.541667716953745
155,rotzo,13.541622904705298
156,romwd,13.539203043289413
157,romib,13.537858675836153
158,rodso,13.520124228515133
159,romnz,13.51547495773925
160,rolzo,13.511598698249
161,romjc,13.50910041539834
162,roqoo,13.507845672441958
163,roqxo,13.505907542696832
164,rotco,13.505907542696832
165,rovro,13.50487686098266
166,roqdv,13.504227083380249
167,romlo,13.50126947498306
168,rowso,13.496015238853204
169,rombe,13.485977295202145
170,rouco,13.483759088904257
171,rodis,13.478213573159527
172,rohco,13.477799059861436
173,rodzo,13.476947627141032
174,rocio,13.47694762714103
175,roqpe,13.468769391800322
176,roqcc,13.462047554533989
177,romos,13.461767477981224
178,rodao,13.460031003354088
179,roluo,13.458496183844938
180,romti,13.45695016127368
181,rowuu,13.455661809130966
182,rojfo,13.449813810709255
183,romey,13.441792418238096
184,roauo,13.430286873450546
185,romoj,13.429760329531353
186,rodto,13.417257712215967
187,rokuo,13.413829575210135
188,rotfo,13.386684555716245
189,rokeu,13.380534074617549
190,romuu,13.374697279257948
191,romsx,13.372311027028394
192,rombo,13.362093834383565
193,romsm,13.356447491079846
194,romoz,13.34959121706818
195,romsc,13.347966773062149
196,romio,13.34623029843501
197,romnw,13.346084658627575
198,romcl,13.345177210596619
199,romuy,13.33817529677752
